category,document_id,question,answers,context
1,603489,제178회 완주군의회 임시회 회기는 언제로 결정됐어?,"{'answer_start': 144, 'text': '4월 20일부터 4월 27일까지 8일간'}","@제178회        완주군의회(임시회) 제 1 차 본회의회의록@

의사일정 제1항 제178회 완주군의회 임시회 회기결정의 건을 상정합니다.  제178회 완주군의회 임시회 회기 결정의 건에 대하여는 운영위원회 김상식 위원장 외 3인의 의원이 발의 한대로 4월 20일부터 4월 27일까지 8일간으로 회기를 결정하고자 합니다. 의원 여러분 이의 있으십니까?

(『없습니다』하는 의원 있음)

이의가 없으므로 가결되었음을 선포합니다.
"
3,603489,제178회 완주군의회 임시회 회기를 발의한 사람은 누구인가?,"{'answer_start': 119, 'text': '김상식 위원장 외 3인의 의원'}","@제178회        완주군의회(임시회) 제 1 차 본회의회의록@

의사일정 제1항 제178회 완주군의회 임시회 회기결정의 건을 상정합니다.  제178회 완주군의회 임시회 회기 결정의 건에 대하여는 운영위원회 김상식 위원장 외 3인의 의원이 발의 한대로 4월 20일부터 4월 27일까지 8일간으로 회기를 결정하고자 합니다. 의원 여러분 이의 있으십니까?

(『없습니다』하는 의원 있음)

이의가 없으므로 가결되었음을 선포합니다.
"
7,604003,제7대 완주군의회 후반기 상임위원회 의원 선임건을 상정한 회의는 어떤거야?,"{'answer_start': 1, 'text': '제214회 완주군의회(임시회) 제1차 본 회 의'}","@제214회 완주군의회(임시회) 제1차 본 회 의 회 의 록@

의석을 정돈하여 주시기 바랍니다. 성원이 되었으므로 회의를 속개하겠습니다. 의사일정 제4항 제7대 완주군의회 후반기 상임위원회 위원 선임의 건을 상정합니다.

완주군의회 위원회 조례 제2조에 따른 상임위원회 설치와 그 위원의 정족수는 의회운영위원회 5인 이내, 자치행정위원회 5인 이내, 산업건설위원회 5인 이내로 3개 상임위원회를 설치하도록 규정하고 있습니다. 또한, 같은 조례 제4조에 의원은 하나의 위원이 되며 다만, 의회운영위원회 위원은 겸할 수 있게 되어있습니다. 그리고 상임위원의 선임은 같은 조례 제9조제1항에 따라 의장이 추천하여 본회의 의결로 선임하도록 되어있습니다.

추천에 앞서, 본 건은 사전에 의원님들로부터 신청을 받아 의원님 한 분, 한 분의 의사를 최대한 존중하면서 합리적인 원 구성을 위해 의원님들과의 협의 등 최대한 노력하였음을 말씀드립니다. 그러면, 각 상임위원회별로 위원을 추천하겠습니다.

먼저 의회운영위원회 위원에 윤수봉 의원님, 최상철 의원님, 이인숙 의원님, 류영렬 의원님, 김용찬 의원님 이상 다섯 분을 추천하고, 다음은 자치행정위원회 위원으로는 류영렬 의원님, 최상철 의원님, 최등원 의원님, 박웅배 의원님 이상 네 분을 추천하며, 끝으로 산업건설위원회 위원으로 서남용 의원님, 윤수봉 의원님, 이향자 의원님, 김용찬 의원님, 이인숙 의원님 이상 다섯 분을 추천합니다. 미리 배부해드린 상임위원 선임안을 참고하여 주시기 바랍니다.

다른 의견이 없으시면 원안대로 의결하고자 하는데, 의원 여러분 이의 있으십니까?

(“없습니다” 하는 의원 있음)

이의가 없으므로 가결되었음을 선포합니다. 각 상임위원회에서는 완주군의회 위원회 조례 제11조제2항의 규정에 따라 간사를 호선하여 본회의에 보고하여 주시기 바랍니다.
"
4,604003,산업건설위원회 위원들은 누구인가?,"{'answer_start': 656, 'text': '서남용 의원님, 윤수봉 의원님, 이향자 의원님, 김용찬 의원님, 이인숙 의원님'}","@제214회 완주군의회(임시회) 제1차 본 회 의 회 의 록@

의석을 정돈하여 주시기 바랍니다. 성원이 되었으므로 회의를 속개하겠습니다. 의사일정 제4항 제7대 완주군의회 후반기 상임위원회 위원 선임의 건을 상정합니다.

완주군의회 위원회 조례 제2조에 따른 상임위원회 설치와 그 위원의 정족수는 의회운영위원회 5인 이내, 자치행정위원회 5인 이내, 산업건설위원회 5인 이내로 3개 상임위원회를 설치하도록 규정하고 있습니다. 또한, 같은 조례 제4조에 의원은 하나의 위원이 되며 다만, 의회운영위원회 위원은 겸할 수 있게 되어있습니다. 그리고 상임위원의 선임은 같은 조례 제9조제1항에 따라 의장이 추천하여 본회의 의결로 선임하도록 되어있습니다.

추천에 앞서, 본 건은 사전에 의원님들로부터 신청을 받아 의원님 한 분, 한 분의 의사를 최대한 존중하면서 합리적인 원 구성을 위해 의원님들과의 협의 등 최대한 노력하였음을 말씀드립니다. 그러면, 각 상임위원회별로 위원을 추천하겠습니다.

먼저 의회운영위원회 위원에 윤수봉 의원님, 최상철 의원님, 이인숙 의원님, 류영렬 의원님, 김용찬 의원님 이상 다섯 분을 추천하고, 다음은 자치행정위원회 위원으로는 류영렬 의원님, 최상철 의원님, 최등원 의원님, 박웅배 의원님 이상 네 분을 추천하며, 끝으로 산업건설위원회 위원으로 서남용 의원님, 윤수봉 의원님, 이향자 의원님, 김용찬 의원님, 이인숙 의원님 이상 다섯 분을 추천합니다. 미리 배부해드린 상임위원 선임안을 참고하여 주시기 바랍니다.

다른 의견이 없으시면 원안대로 의결하고자 하는데, 의원 여러분 이의 있으십니까?

(“없습니다” 하는 의원 있음)

이의가 없으므로 가결되었음을 선포합니다. 각 상임위원회에서는 완주군의회 위원회 조례 제11조제2항의 규정에 따라 간사를 호선하여 본회의에 보고하여 주시기 바랍니다.
"
6,603644,완주군의회 의원 의정활동비등 지급에 관한 조례중 개정조례안을 발의한 의원은 몇 명이야?,"{'answer_start': 435, 'text': '9인'}","@제109회 전라북도 완주군의회 (임시회) 제2호 본 회 의 회 의 록@

의사일정 제2항 완주군의회 의원 의정활동비등 지급에 관한 조례중 개정조례안, 의사일정 제3항 완주군의회 의원 공무 국외여행 규칙안 등 2건을 일괄 상정합니다.

본 건에 대하여 운영위원장님 나오셔서 심사결과를 보고하여 주시기 바랍니다.

운영위원회 위원장 조정석 의원입니다.

지난 2월 24일 제1차 운영위원회에서 심사한 완주군의회 의원 의정활동비등 지급에 관한 조례중 개정조례안과, 완주군의회 의원 공무국외여행 규칙안에 관하여 심사한 결과를 보고 드리겠습니다.

먼저 완주군의회 의원 의정활동비등 지급에 관한 조례중 개정조례안은 공무원 여비규정 및 지방자치법 시행령이 개정되어 의원의 국 내외 숙박비 인상은 물론 의정활동비 인상과 보조활동비가 신설되어 본 조례안을 개정하려는 것으로 김호성 의원 외 9인이 발의한 원안대로 심사처리 하였습니다.

다음은 완주군의회 의원 공무국외여행 규칙안에 관하여 심사한 결과를 말씀드리겠습니다.

완주군의회 의원 공무국외여행 규칙안은 의원의 공무국외여행을 효율적이고 생산적으로 운영하기 위하여 심사위원회를 구성, 여행의 필요성, 여행기간의 적정성, 적합성, 타당성 등을 사전에 심사하여, 공무국외여행 목적을 분명히 하고자 함으로써 임원규 의원 외9인이 발의한 원안대로 심사처리 되었습니다.

기타 자세한 사항은 배부해 드린 심사결과 보고서를 참고하여 주시기 바랍니다. 아무쪼록 본 운영위원회에서 심사한 조례안 및 규칙안에 관하여 의원님들의 많은 협조 부탁드립니다. 감사합니다.

수고 하셨습니다.

다음은 질의답변 순서로서 질의하실 의원님 계십니까?

(『없습니다』하는 의원 있음)

질의하실 의원님 없으므로 질의답변 종결을 선포합니다.

그러면 운영위원장님께서 심사 보고한 원안대로 의결하고자 합니다.

의사일정 제2항 완주군의회 의원 의정활동비 등 지급에 관한 조례중 개정조례안에 대하여 의원 여러분 이의 없으십니까?

(『없습니다』하는 의원 있음)

이의가 없으므로 가결되었음을 선포합니다.

다음은 의사일정 제3항 완주군의회 의원 공무국외여행 규칙안에 대하여 의원 여러분 이의 없으십니까?

(『없습니다』하는 의원 있음)

이의가 없으므로 가결되었음을 선포합니다.
"
3,603644,제109회 전라북도 완주군의회 (임시회) 제2호 본 회 의의 심사결과를 보고한 사람은 누구야?,"{'answer_start': 184, 'text': ' 조정석 의원'}","@제109회 전라북도 완주군의회 (임시회) 제2호 본 회 의 회 의 록@

의사일정 제2항 완주군의회 의원 의정활동비등 지급에 관한 조례중 개정조례안, 의사일정 제3항 완주군의회 의원 공무 국외여행 규칙안 등 2건을 일괄 상정합니다.

본 건에 대하여 운영위원장님 나오셔서 심사결과를 보고하여 주시기 바랍니다.

운영위원회 위원장 조정석 의원입니다.

지난 2월 24일 제1차 운영위원회에서 심사한 완주군의회 의원 의정활동비등 지급에 관한 조례중 개정조례안과, 완주군의회 의원 공무국외여행 규칙안에 관하여 심사한 결과를 보고 드리겠습니다.

먼저 완주군의회 의원 의정활동비등 지급에 관한 조례중 개정조례안은 공무원 여비규정 및 지방자치법 시행령이 개정되어 의원의 국 내외 숙박비 인상은 물론 의정활동비 인상과 보조활동비가 신설되어 본 조례안을 개정하려는 것으로 김호성 의원 외 9인이 발의한 원안대로 심사처리 하였습니다.

다음은 완주군의회 의원 공무국외여행 규칙안에 관하여 심사한 결과를 말씀드리겠습니다.

완주군의회 의원 공무국외여행 규칙안은 의원의 공무국외여행을 효율적이고 생산적으로 운영하기 위하여 심사위원회를 구성, 여행의 필요성, 여행기간의 적정성, 적합성, 타당성 등을 사전에 심사하여, 공무국외여행 목적을 분명히 하고자 함으로써 임원규 의원 외9인이 발의한 원안대로 심사처리 되었습니다.

기타 자세한 사항은 배부해 드린 심사결과 보고서를 참고하여 주시기 바랍니다. 아무쪼록 본 운영위원회에서 심사한 조례안 및 규칙안에 관하여 의원님들의 많은 협조 부탁드립니다. 감사합니다.

수고 하셨습니다.

다음은 질의답변 순서로서 질의하실 의원님 계십니까?

(『없습니다』하는 의원 있음)

질의하실 의원님 없으므로 질의답변 종결을 선포합니다.

그러면 운영위원장님께서 심사 보고한 원안대로 의결하고자 합니다.

의사일정 제2항 완주군의회 의원 의정활동비 등 지급에 관한 조례중 개정조례안에 대하여 의원 여러분 이의 없으십니까?

(『없습니다』하는 의원 있음)

이의가 없으므로 가결되었음을 선포합니다.

다음은 의사일정 제3항 완주군의회 의원 공무국외여행 규칙안에 대하여 의원 여러분 이의 없으십니까?

(『없습니다』하는 의원 있음)

이의가 없으므로 가결되었음을 선포합니다.
"
6,603644,"완주군의회 의원 의정활동비등 지급에 관한 조례중 개정조례안과, 완주군의회 의원 공무국외여행 규칙안 심사는 언제 진행했어?","{'answer_start': 199, 'text': ' 2월 24일'}","@제109회 전라북도 완주군의회 (임시회) 제2호 본 회 의 회 의 록@

의사일정 제2항 완주군의회 의원 의정활동비등 지급에 관한 조례중 개정조례안, 의사일정 제3항 완주군의회 의원 공무 국외여행 규칙안 등 2건을 일괄 상정합니다.

본 건에 대하여 운영위원장님 나오셔서 심사결과를 보고하여 주시기 바랍니다.

운영위원회 위원장 조정석 의원입니다.

지난 2월 24일 제1차 운영위원회에서 심사한 완주군의회 의원 의정활동비등 지급에 관한 조례중 개정조례안과, 완주군의회 의원 공무국외여행 규칙안에 관하여 심사한 결과를 보고 드리겠습니다.

먼저 완주군의회 의원 의정활동비등 지급에 관한 조례중 개정조례안은 공무원 여비규정 및 지방자치법 시행령이 개정되어 의원의 국 내외 숙박비 인상은 물론 의정활동비 인상과 보조활동비가 신설되어 본 조례안을 개정하려는 것으로 김호성 의원 외 9인이 발의한 원안대로 심사처리 하였습니다.

다음은 완주군의회 의원 공무국외여행 규칙안에 관하여 심사한 결과를 말씀드리겠습니다.

완주군의회 의원 공무국외여행 규칙안은 의원의 공무국외여행을 효율적이고 생산적으로 운영하기 위하여 심사위원회를 구성, 여행의 필요성, 여행기간의 적정성, 적합성, 타당성 등을 사전에 심사하여, 공무국외여행 목적을 분명히 하고자 함으로써 임원규 의원 외9인이 발의한 원안대로 심사처리 되었습니다.

기타 자세한 사항은 배부해 드린 심사결과 보고서를 참고하여 주시기 바랍니다. 아무쪼록 본 운영위원회에서 심사한 조례안 및 규칙안에 관하여 의원님들의 많은 협조 부탁드립니다. 감사합니다.

수고 하셨습니다.

다음은 질의답변 순서로서 질의하실 의원님 계십니까?

(『없습니다』하는 의원 있음)

질의하실 의원님 없으므로 질의답변 종결을 선포합니다.

그러면 운영위원장님께서 심사 보고한 원안대로 의결하고자 합니다.

의사일정 제2항 완주군의회 의원 의정활동비 등 지급에 관한 조례중 개정조례안에 대하여 의원 여러분 이의 없으십니까?

(『없습니다』하는 의원 있음)

이의가 없으므로 가결되었음을 선포합니다.

다음은 의사일정 제3항 완주군의회 의원 공무국외여행 규칙안에 대하여 의원 여러분 이의 없으십니까?

(『없습니다』하는 의원 있음)

이의가 없으므로 가결되었음을 선포합니다.
"
2,603487,완주군수가 완주군 보건소 및 보건지소 운영에 관한 조례 일부개정조례안을 회부한 날짜는?,"{'answer_start': 964, 'text': '4월 16일'}","@제178회        완주군의회(임시회) 제 1 차 본회의회의록@

좌석을 정돈하여 주시기 바랍니다. 성원이 되었으므로 제178회 완주군의회 임시회 제1차 본회의 개의를 선포합니다. 먼저 의사담당으로부터 집회요구 및 의안접수사항에 대한 보고가 있겠습니다. 의사담당은 보고하여 주시기 바랍니다.

보고 드리겠습니다. 2012년 2월 13일 제177회 완주군의회 임시회 폐회이후 집회 요구 및 의안 접수사항을 보고 드리겠습니다.

집회 요구 사항입니다. 2012년 3월 23일 운영위원회 김상식 위원장 외 3인의 의원으로부터 임시회 집회요구가 있어 지방자치법 제45조 제2항 및 제3항의 규정에 의하여 4월 16일 집회공고를 하고, 오늘 집회를 갖게 되었습니다.

다음은 의안접수 및 회부사항을 보고 드리겠습니다.

3월 9일 완주군수로부터 완주군민의장 조례 일부개정조례안과 완주군 명예군민증서 수여조례 일부개정조례안, 완주군 사무소 소재지에 관한 조례 일부개정조례안, 완주군 내고장 주소갖기 시책지원 조례안, 완주군 농업회사법인 출자 및 지원에 관한 조례안, 완주군 동계올림픽대회 유치 지원조례 폐지조례안, 완주군 여름철 물놀이 안전관리 조례안이 제출되었고, 3월 28일은 자치행정위원장으로부터 완주군 체불임금 없는 관급공사 운영을 위한 조례안이, 박재완 의원 외 4인의 의원으로부터 완주군 갈등예방 및 관리를 위한 조례안이 제출되었으며, 3월 29일 완주군수로부터 완주군 군세감면조례 전부개정조례안과 완주군 시장사용 및 관리조례 전부개정조례안, 완주군 공동체 창업보육센터 설치 및 운영에 관한 조례안, 완주군 자연휴양림 입장료 및 시설사용료 징수조례 일부개정조례안, 4월 10일은 2012년도 공유재산 관리계획 변경계획 승인안과 군 계획시설 결정 의견 청취안이, 4월 13일은 완주군 지방공무원 정원조례 일부개정조례안과 완주군 폐기물관리에 관한 조례 일부개정조례안, 완주군 보건진료소 운영협의회 조례 일부개정조례안이, 4월 16일은 완주군 체육시설 설치 관리ㆍ운영조례 일부개정조례안과 완주군 보건소 및 보건지소 운영에 관한 조례 일부개정조례안이 제출되어 해당 상임위원회에 회부하였습니다. 이상으로 보고를 마치겠습니다.
"
7,603487,완주군 내고장 주소갖기 시책지원 조례안을 제출한 회의는?,"{'answer_start': 69, 'text': '제178회 완주군의회 임시회 제1차 본회의'}","@제178회        완주군의회(임시회) 제 1 차 본회의회의록@

좌석을 정돈하여 주시기 바랍니다. 성원이 되었으므로 제178회 완주군의회 임시회 제1차 본회의 개의를 선포합니다. 먼저 의사담당으로부터 집회요구 및 의안접수사항에 대한 보고가 있겠습니다. 의사담당은 보고하여 주시기 바랍니다.

보고 드리겠습니다. 2012년 2월 13일 제177회 완주군의회 임시회 폐회이후 집회 요구 및 의안 접수사항을 보고 드리겠습니다.

집회 요구 사항입니다. 2012년 3월 23일 운영위원회 김상식 위원장 외 3인의 의원으로부터 임시회 집회요구가 있어 지방자치법 제45조 제2항 및 제3항의 규정에 의하여 4월 16일 집회공고를 하고, 오늘 집회를 갖게 되었습니다.

다음은 의안접수 및 회부사항을 보고 드리겠습니다.

3월 9일 완주군수로부터 완주군민의장 조례 일부개정조례안과 완주군 명예군민증서 수여조례 일부개정조례안, 완주군 사무소 소재지에 관한 조례 일부개정조례안, 완주군 내고장 주소갖기 시책지원 조례안, 완주군 농업회사법인 출자 및 지원에 관한 조례안, 완주군 동계올림픽대회 유치 지원조례 폐지조례안, 완주군 여름철 물놀이 안전관리 조례안이 제출되었고, 3월 28일은 자치행정위원장으로부터 완주군 체불임금 없는 관급공사 운영을 위한 조례안이, 박재완 의원 외 4인의 의원으로부터 완주군 갈등예방 및 관리를 위한 조례안이 제출되었으며, 3월 29일 완주군수로부터 완주군 군세감면조례 전부개정조례안과 완주군 시장사용 및 관리조례 전부개정조례안, 완주군 공동체 창업보육센터 설치 및 운영에 관한 조례안, 완주군 자연휴양림 입장료 및 시설사용료 징수조례 일부개정조례안, 4월 10일은 2012년도 공유재산 관리계획 변경계획 승인안과 군 계획시설 결정 의견 청취안이, 4월 13일은 완주군 지방공무원 정원조례 일부개정조례안과 완주군 폐기물관리에 관한 조례 일부개정조례안, 완주군 보건진료소 운영협의회 조례 일부개정조례안이, 4월 16일은 완주군 체육시설 설치 관리ㆍ운영조례 일부개정조례안과 완주군 보건소 및 보건지소 운영에 관한 조례 일부개정조례안이 제출되어 해당 상임위원회에 회부하였습니다. 이상으로 보고를 마치겠습니다.
"
1,603492,제178회 완주군의회 임시회 휴회 기간은?,"{'answer_start': 99, 'text': '4월 21일부터 4월 26일까지 6일간'}","@제178회        완주군의회(임시회) 제 1 차 본회의회의록@

다음은 의사일정 제3항 본회의 휴회의 건을 상정합니다. 의정활동 자료수집 및 상임위원회 의정활동을 위하여 4월 21일부터 4월 26일까지 6일간 본회의를 휴회하고자 하는데 의원 여러분 이의 있으십니까?

(『없습니다』하는 의원 있음)

이의가 없으므로 가결되었음을 선포합니다. 이상으로 제178회 임시회 제1차 본회의를 마치겠습니다. 제2차 본회의는 4월 27일 오전 10시에 개의하겠습니다. 이상으로 제1차 본회의 산회를 선포합니다.
"
